"plate_id","batch","temperature","day","isolate","biorep","media","dilution","time","platingrep","counted_colonies","concentration_from_sphereflash","dilution_factor"
"B8_10_18_S12-0116_1_BHIrif_-4_24_2","B8","10",18,"S12-0116",1,"BHIrif",-4,"24",2,209,199207456,11514
"B8_10_18_S12-0132_1_BHI_-6_24_1","B8","10",18,"S12-0132",1,"BHI",-6,"24",1,99,2182409472,1102227
"B8_10_18_S12-0132_1_BHIrif_-4_24_2","B8","10",18,"S12-0132",1,"BHIrif",-4,"24",2,172,294376384,11022
"B8_10_18_S12-0132_1_BHIrif_-4_24_1","B8","10",18,"S12-0132",1,"BHIrif",-4,"24",1,171,292664896,11022
"B8_10_18_S12-0116_1_BHI_-6_24_1","B8","10",18,"S12-0116",1,"BHI",-6,"24",1,200,7125012480,1151402
"B8_10_18_S12-0141_1_BHIrif_-4_24_2","B8","10",18,"S12-0141",1,"BHIrif",-4,"24",2,187,313108832,10783
"B8_10_18_S12-0141_1_BHIrif_-4_24_1","B8","10",18,"S12-0141",1,"BHIrif",-4,"24",1,170,284644416,10783
"B8_10_18_S12-0141_1_BHI_-6_24_1","B8","10",18,"S12-0141",1,"BHI",-6,"24",1,61,1315478400,1078261
"B8_10_21_S12-0116_1_BHIrif_-5_24_1","B8","10",21,"S12-0116",1,"BHIrif",-5,"24",1,6,12473520,103946
"B8_10_21_S12-0132_1_BHIrif_-3_24_1","B8","10",21,"S12-0132",1,"BHIrif",-3,"24",1,236,41043476,1120
"B8_10_21_S12-0116_1_BHI_-6_24_1","B8","10",21,"S12-0116",1,"BHI",-6,"24",1,209,4344930304,1039457
"B8_10_21_S12-0116_1_BHIrif_-5_24_2","B8","10",21,"S12-0116",1,"BHIrif",-5,"24",2,8,16631360,103946
"B8_10_21_S12-0141_1_BHIrif_-5_24_2","B8","10",21,"S12-0141",1,"BHIrif",-5,"24",2,112,260697920,116383
"B8_10_21_S12-0141_1_BHIrif_-5_24_1","B8","10",21,"S12-0141",1,"BHIrif",-5,"24",1,130,302595808,116383
"B8_10_21_S12-0132_1_BHI_-6_24_1","B8","10",21,"S12-0132",1,"BHI",-6,"24",1,206,7141214208,1120408
